Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,38.849998,47.976002,36.299999,45.953999,45.953999,514610000
2016-04-01,48.966000,53.868000,46.650002,48.152000,48.152000,677536500
2016-05-01,48.299999,48.638000,40.731998,44.646000,44.646000,516537500
2016-06-01,44.296001,48.169998,37.574001,42.456001,42.456001,608364000
2016-07-01,41.228001,47.056000,41.200001,46.958000,46.958000,370319500
2016-08-01,47.099998,47.326000,41.730000,42.402000,42.402000,311455500
2016-09-01,41.801998,42.220001,38.689999,40.806000,40.806000,353159500
2016-10-01,42.459999,43.133999,38.400002,39.546001,39.546001,460664000
2016-11-01,39.608002,39.869999,35.638000,37.880001,37.880001,494430000
2016-12-01,37.650002,44.759998,36.000000,42.737999,42.737999,439967000
2017-01-01,42.972000,51.692001,42.192001,50.386002,50.386002,503398000
2017-02-01,50.610001,57.478001,48.402000,49.998001,49.998001,597700000
2017-03-01,50.835999,56.400002,48.556000,55.660000,55.660000,535176500
2017-04-01,57.380001,62.959999,56.916000,62.813999,62.813999,584753000
2017-05-01,62.976002,68.578003,58.152000,68.202003,68.202003,740231500
2017-06-01,68.800003,77.398003,66.842003,72.321999,72.321999,929755500
2017-07-01,74.047997,74.269997,60.625999,64.694000,64.694000,908200000
2017-08-01,64.599998,74.000000,62.243999,71.180000,71.180000,684708000
2017-09-01,71.223999,77.921997,67.080002,68.220001,68.220001,557563500
2017-10-01,68.503998,72.599998,63.332001,66.306000,66.306000,615183500
2017-11-01,66.449997,66.522003,58.526001,61.770000,61.770000,744064000
2017-12-01,61.088001,69.487999,60.000000,62.270000,62.270000,549423500
2018-01-01,62.400002,72.099998,61.136002,70.862000,70.862000,621357500
2018-02-01,70.199997,71.998001,58.952000,68.612000,68.612000,545950000
2018-03-01,69.001999,69.734001,49.641998,53.226002,53.226002,786342500
2018-04-01,51.251999,61.900002,48.917999,58.779999,58.779999,951554000
2018-05-01,58.702000,62.598000,54.683998,56.945999,56.945999,777890500
2018-06-01,57.172001,74.746002,56.768002,68.589996,68.589996,1067125500
2018-07-01,72.014000,72.956001,57.226002,59.627998,59.627998,861641000
2018-08-01,59.598000,77.491997,57.639999,60.332001,60.332001,1386801000
2018-09-01,59.388000,62.992001,50.450001,52.953999,52.953999,980377000
2018-10-01,61.153999,69.431999,49.554001,67.463997,67.463997,1431803500
2018-11-01,67.652000,73.349998,65.000000,70.096001,70.096001,665095500
2018-12-01,72.000000,358.489990,58.818001,66.559998,66.559998,732256000
2019-01-01,61.220001,70.400002,55.855999,61.403999,61.403999,878260500
2019-02-01,61.084000,64.848000,57.754002,63.976002,63.976002,642750500
2019-03-01,61.388000,61.425999,50.891998,55.972000,55.972000,1068967500
2019-04-01,56.523998,59.234001,46.226002,47.737999,47.737999,1153736500
2019-05-01,47.770000,51.669998,36.820000,37.032001,37.032001,1412994000
2019-06-01,37.102001,46.948002,35.397999,44.692001,44.692001,1074853000
2019-07-01,46.042000,53.214001,44.444000,48.321999,48.321999,996683500
2019-08-01,48.529999,48.902000,42.200001,45.122002,45.122002,668953000
2019-09-01,44.816002,50.700001,43.672001,48.174000,48.174000,678876500
2019-10-01,48.299999,68.167999,44.855999,62.984001,62.984001,1139913000
2019-11-01,63.264000,72.239998,61.852001,65.987999,65.987999,788854000
2019-12-01,65.879997,87.061996,65.449997,83.666000,83.666000,1035400000
2020-01-01,84.900002,130.600006,84.342003,130.113998,130.113998,2036092500
2020-02-01,134.738007,193.798004,122.304001,133.598007,133.598007,2365483000
2020-03-01,142.251999,161.395996,70.101997,104.800003,104.800003,2104675000
2020-04-01,100.800003,173.964005,89.279999,156.376007,156.376007,1907812000
2020-05-01,151.000000,168.658005,136.608002,167.000000,167.000000,1364137500
2020-06-01,171.600006,217.537994,170.820007,215.962006,215.962006,1278863500
2020-07-01,216.600006,358.997986,216.100006,286.152008,286.152008,1893612000
2020-08-01,289.839996,500.140015,273.000000,498.320007,498.320007,1557876400
2020-09-01,502.140015,502.489990,329.880005,429.010010,429.010010,1736563100
2020-10-01,440.760010,465.899994,379.109985,388.040009,388.040009,833832100
2020-11-01,394.000000,607.799988,392.299988,567.599976,567.599976,782598800
2020-12-01,597.590027,718.719971,541.210022,705.669983,705.669983,1196698400
2021-01-01,719.460022,900.400024,717.190002,793.530029,793.530029,705410700
2021-02-01,814.289978,880.500000,785.330017,816.119995,816.119995,219236500
2021-02-12,801.260010,817.330017,785.330627,816.119995,816.119995,23768398
